Validation Rewards,External Rewards
272771.88212907745,-3484878.559999982
272710.38212907745,-3485661.5399999814
272710.38212907745,-3485661.5399999814
272808.88212907745,-3484703.8599999817
272808.88212907745,-3484703.8599999817
272808.88212907745,-3484703.8599999817
272808.88212907745,-3484703.8599999817
272761.88212907745,-3484922.459999982
272761.88212907745,-3484922.459999982
272700.38212907745,-3485705.4399999813
272700.38212907745,-3485705.4399999813
272700.38212907745,-3485705.4399999813
272700.38212907745,-3485705.4399999813
272808.88212907745,-3484703.8599999817
272808.88212907745,-3484703.8599999817
272808.88212907745,-3484703.8599999817
272818.88212907745,-3484659.959999982
272818.88212907745,-3484659.959999982
272665.38212907745,-3481817.5599999824
272556.88212907745,-3482819.1399999815
272665.38212907745,-3481817.5599999824
272655.38212907745,-3481861.4599999823
272655.38212907745,-3481861.4599999823
272655.38212907745,-3481861.4599999823
272655.38212907745,-3481861.4599999823
272655.38212907745,-3481861.4599999823
272655.38212907745,-3481861.4599999823
272655.38212907745,-3481861.4599999823
272808.88212907745,-3484703.8599999817
272826.38212907745,-3484833.659999982
272779.38212907745,-3485052.259999982
272779.38212907745,-3485052.259999982
272717.88212907745,-3485835.239999981
272717.88212907745,-3485835.239999981
272717.88212907745,-3485835.239999981
272826.38212907745,-3484833.659999982
272826.38212907745,-3484833.659999982
272826.38212907745,-3484833.659999982
272826.38212907745,-3484833.659999982
272826.38212907745,-3484833.659999982
272826.38212907745,-3484833.659999982
272826.38212907745,-3484833.659999982
272672.88212907745,-3481991.259999982
272871.38212907745,-3482756.959999982
272826.38212907745,-3484833.659999982
272672.88212907745,-3481991.259999982
272672.88212907745,-3481991.259999982
272826.38212907745,-3484833.659999982
272672.88212907745,-3481991.259999982
272826.38212907745,-3484833.659999982
272826.38212907745,-3484833.659999982
272672.88212907745,-3481991.259999982
272672.88212907745,-3481991.259999982
272826.38212907745,-3484833.659999982
272826.38212907745,-3484833.659999982
272826.38212907745,-3484833.659999982
272871.38212907745,-3482756.959999982
272826.38212907745,-3484833.659999982
